0,1,2,3,4,5,6,7,8,9,10,11,12,emotion
-726.2172,68.54142,3.2933977,12.2053,5.5102777,13.667408,-2.9838283,3.0980291,-3.3108134,-1.5643841,-7.8616524,-2.1242816,2.849204,neutral
-719.1283,70.20157,1.168397,13.122543,7.83695,14.411292,-4.1113596,4.468973,-3.5393667,-3.6586075,-7.648504,-1.4770775,3.031821,neutral
-714.9957,69.68935,3.9245636,11.92419,6.4217234,11.011614,-2.878103,4.5095577,-4.476109,-2.6715493,-7.4992833,-2.9622655,1.8734846,neutral
-710.9753,67.56489,5.7822413,13.230726,6.1908455,12.628252,-1.6751695,5.6574936,-4.9506335,-3.4775455,-7.416558,-1.9370041,2.2715254,neutral
-759.92175,75.78352,6.023605,14.557394,6.4541883,14.631508,-3.0045512,4.6209702,-5.200016,-0.70743024,-7.790287,-3.5649483,2.1809702,calm
-735.0066,79.09305,8.141051,11.413549,5.174124,15.393285,-2.7520719,2.9645836,-5.3889713,-1.6918322,-5.8528347,-4.0432878,3.0046408,calm
-733.5249,81.58986,4.8633575,14.423686,5.267689,13.96856,-3.0856166,7.1732454,-4.8214383,-0.9674487,-6.2504735,-3.8666399,3.3255188,calm
-728.363,82.324936,7.5005765,12.542465,6.788125,14.805659,-2.9095805,6.937839,-4.84434,-1.8469232,-5.6877103,-3.6666536,2.2403512,calm
-771.62524,83.32755,9.759607,14.268048,6.201726,16.020977,-2.846898,4.47025,-5.536262,0.8787948,-5.3482485,-3.029556,2.3405733,calm
-733.9896,82.99157,3.7967932,13.411559,3.1084962,16.039553,-5.652945,5.5606713,-7.840987,-1.1772103,-5.7287865,-4.109694,3.882382,calm
-735.9587,83.71625,8.720739,16.973064,1.3004172,16.308208,-2.9989035,8.180385,-9.681772,1.4794086,-8.105539,-3.2144182,3.27963,calm
-724.8058,83.05965,0.8636634,13.715781,5.3935223,15.342071,-3.8907714,6.682707,-9.109153,-2.3108945,-7.557554,-2.6653073,4.4087,calm
-679.53876,78.69846,0.66773736,10.390019,5.2070203,11.5252285,-7.0435305,2.0349188,-6.769451,-3.4523165,-8.604058,-2.1430967,2.153603,happy
-658.3063,78.063484,-0.78696334,10.139038,8.304726,12.286283,-4.871698,0.52415824,-5.5969224,-3.2145643,-9.875024,-1.7062541,3.7575343,happy
-693.60925,77.67328,2.3561034,12.037886,5.272909,9.537619,-5.2778487,3.814017,-8.2640085,-3.2064865,-11.793282,-2.4545705,4.334239,happy
-683.93146,74.13294,1.0578566,17.886679,6.339445,11.593822,-5.891603,6.8250275,-6.587667,-1.8747079,-10.637551,-2.1259463,2.790956,happy
-627.4205,67.704384,-6.669489,9.967615,-3.0760908,7.208737,-5.0634565,-2.9935553,-10.524828,-4.989577,-8.107446,-8.3624735,0.3314784,happy
-591.9702,72.971,-6.905822,4.645147,0.41286418,8.77231,-4.154121,-3.5272965,-8.41551,-5.53817,-10.657866,-7.126159,4.071781,happy
-554.2307,70.283676,-10.080169,11.619575,-1.2718135,10.0290985,-6.932471,-0.29826084,-9.17895,-6.3009877,-12.87689,-5.181731,3.789686,happy
